name,label,url,link-description,
LGBT MPs,"Members of Parliament who are LGBT in the UK House of Commons",https://mps.whoare.lgbt,"View the dataset of Members of the UK House of Commons who are LGBT",
LGBT Ministers,"Members of the UK Government who are LGBT",https://ministers.whoare.lgbt,"View the dataset of Members of the UK Government who are LGBT",
